time_s,packet_counter,latitude_deg,longitude_deg,altitude_m,epoch_s
0.0,100,40.9621050,29.1294180,128.0,1788948000.0
2.0,101,40.9621374,29.1294752,193.0,1788948002.0
4.0,102,40.9622129,29.1296086,363.0,1788948004.0
6.0,103,40.9623154,29.1297897,583.0,1788948006.0
8.0,104,40.9624396,29.1300090,763.0,1788948008.0
10.0,105,40.9625798,29.1302568,838.0,1788948010.0
12.0,106,40.9627201,29.1305046,808.0,1788948012.0
14.0,107,40.9628550,29.1307430,728.0,1788948014.0
16.0,108,40.9629845,29.1309715,628.0,1788948016.0
18.0,109,40.9631033,29.1311814,523.0,1788948018.0
20.0,110,40.9632112,29.1313721,423.0,1788948020.0
22.0,111,40.9633029,29.1315341,338.0,1788948022.0
24.0,112,40.9633785,29.1316676,273.0,1788948024.0
26.0,113,40.9634380,29.1317720,208.0,1788948026.0
28.0,114,40.9634810,29.1318490,150.0,1788948028.0
30.0,115,40.9635080,29.1318960,129.0,1788948030.0
